"name":"临商银行--818000000","pId":"0","id":"818000000"
"name":"财务部--818000101","pId":"818000000","id":"818000101"
"name":"临商银行司库--818000102","pId":"818000000","id":"818000102"
"name":"临商联盟创新中心--818000201","pId":"818000000","id":"818000201"
"name":"卡中心--818000401","pId":"818000000","id":"818000401"
"name":"数字银行事业部--818000402","pId":"818000000","id":"818000402"
"name":"资产保全部--818000501","pId":"818000000","id":"818000501"
"name":"基建办公室--818000601","pId":"818000000","id":"818000601"
"name":"中心金库--818000701","pId":"818000000","id":"818000701"
"name":"远程银行中心--818000801","pId":"818000000","id":"818000801"
"name":"票据业务中心--818000901","pId":"818000000","id":"818000901"
"name":"票据专营中心--818000902","pId":"818000000","id":"818000902"
"name":"银联--818009902","pId":"818000000","id":"818009902"
"name":"内网--818009903","pId":"818000000","id":"818009903"
"name":"银联(宁波)--818009904","pId":"818020000","id":"818009904"
"name":"内网(宁波)--818009905","pId":"818020000","id":"818009905"
"name":"临沂地区--818010000","pId":"818000000","id":"818010000"
"name":"总行营业部--818011000","pId":"818010000","id":"818011000"
"name":"总行营业部--818011001","pId":"818011000","id":"818011001"
"name":"新城支行--818011002","pId":"818011020","id":"818011002"
"name":"新城支行--818011020","pId":"818011500","id":"818011020"
"name":"金雀山支行--818011100","pId":"818017700","id":"818011100"
"name":"金雀山支行--818011101","pId":"818011100","id":"818011101"
"name":"金坛支行--818011105","pId":"818011150","id":"818011105"
"name":"金坛支行--818011150","pId":"818017700","id":"818011150"
"name":"兰山支行--818011200","pId":"818011500","id":"818011200"
"name":"兰山支行--818011201","pId":"818011200","id":"818011201"
"name":"恒昌支行--818011203","pId":"818011230","id":"818011203"
"name":"恒昌支行--818011230","pId":"818011500","id":"818011230"
"name":"银雀山支行--818011300","pId":"818017700","id":"818011300"
"name":"银雀山支行--818011301","pId":"818011300","id":"818011301"
"name":"开源支行--818011303","pId":"818011330","id":"818011303"
"name":"广鸿支行--818011307","pId":"818011370","id":"818011307"
"name":"开源支行--818011330","pId":"818017700","id":"818011330"
"name":"广鸿支行--818011370","pId":"818017700","id":"818011370"
"name":"兰山支行--818011500","pId":"818010000","id":"818011500"
"name":"星火支行--818011501","pId":"818011500","id":"818011501"
"name":"城区支行--818011502","pId":"818011520","id":"818011502"
"name":"城区支行--818011520","pId":"818011500","id":"818011520"
"name":"北城支行--818011600","pId":"818010000","id":"818011600"
"name":"北城支行--818011601","pId":"818011600","id":"818011601"
"name":"柳青支行--818011602","pId":"818011620","id":"818011602"
"name":"临商银行成都路支行--818011607","pId":"818011670","id":"818011607"
"name":"临商银行天津路支行--818011608","pId":"818011680","id":"818011608"
"name":"柳青支行--818011620","pId":"818011600","id":"818011620"
"name":"临商银行成都路支行--818011670","pId":"818011600","id":"818011670"
"name":"临商银行天津路支行--818011680","pId":"818010000","id":"818011680"
"name":"西郊支行--818011700","pId":"818010000","id":"818011700"
"name":"商城支行--818011701","pId":"818011700","id":"818011701"
"name":"银都支行--818011705","pId":"818011750","id":"818011705"
